"","id","name","points","speed","dist","dist_points","note_points","round","wind_comp","gate_points","season","place","gender"
"1","2021JP3001RLQ","eisenbichler markus",222.5,104.4,225.5,150.6,55,"qualification",7.7,9.2,2021,"Planica (SLO)","Men"
"2","2021JP3001RLQ","hayboeck michael",216,105.3,242.5,171,49.5,"qualification",-4.5,0,2021,"Planica (SLO)","Men"
"3","2021JP3001RLQ","granerud halvor egner",215.6,103.9,221.5,145.8,55,"qualification",5.6,9.2,2021,"Planica (SLO)","Men"
"4","2021JP3001RLQ","geiger karl",215.4,104.6,228,153.6,54.5,"qualification",-1.9,9.2,2021,"Planica (SLO)","Men"
"5","2021JP3001RLQ","tande daniel andre",215.3,104.2,229.5,155.4,55.5,"qualification",-4.8,9.2,2021,"Planica (SLO)","Men"
"6","2021JP3001RLQ","stoch kamil",212,103.5,226,151.2,54.5,"qualification",-2.9,9.2,2021,"Planica (SLO)","Men"
"7","2021JP3001RLQ","johansson robert",211.7,104.4,222,146.4,53.5,"qualification",2.6,9.2,2021,"Planica (SLO)","Men"
"8","2021JP3001RLQ","sato yukiya",206.9,103.3,219.5,143.4,54,"qualification",0.3,9.2,2021,"Planica (SLO)","Men"
"9","2021JP3001RLQ","zyla piotr",206.1,103.7,223,147.6,53,"qualification",-3.7,9.2,2021,"Planica (SLO)","Men"
"10","2021JP3001RLQ","paschke pius",206.1,104,221,145.2,55,"qualification",-3.3,9.2,2021,"Planica (SLO)","Men"
"11","2021JP3001RLQ","pavlovcic bor",202.8,104.4,220,144,54.5,"qualification",-4.9,9.2,2021,"Planica (SLO)","Men"
"12","2021JP3001RLQ","kubacki dawid",201.3,104.4,216,139.2,53,"qualification",-0.1,9.2,2021,"Planica (SLO)","Men"
"13","2021JP3001RLQ","stekala andrzej",200.9,104.1,217.5,141,54,"qualification",-3.3,9.2,2021,"Planica (SLO)","Men"
"14","2021JP3001RLQ","zajc timi",198.7,103.5,216,139.2,54,"qualification",-3.7,9.2,2021,"Planica (SLO)","Men"
"15","2021JP3001RLQ","aschenwald philipp",198.2,104.5,217.5,141,54,"qualification",-6,9.2,2021,"Planica (SLO)","Men"
"16","2021JP3001RLQ","lanisek anze",197.9,104.1,214.5,137.4,54,"qualification",-2.7,9.2,2021,"Planica (SLO)","Men"
"17","2021JP3001RLQ","klimov evgeniy",196.7,103.2,215,138,54,"qualification",-4.5,9.2,2021,"Planica (SLO)","Men"
"18","2021JP3001RLQ","eriksen sander vossan",192.6,103.8,212,134.4,53.5,"qualification",-4.5,9.2,2021,"Planica (SLO)","Men"
"19","2021JP3001RLQ","aalto antti",188.6,104.4,221.5,145.8,46.5,"qualification",-3.7,0,2021,"Planica (SLO)","Men"
"20","2021JP3001RLQ","schmid constantin",187.3,104.6,208,129.6,52.5,"qualification",-4,9.2,2021,"Planica (SLO)","Men"
"21","2021JP3001RLQ","prevc domen",187.2,104.4,216.5,139.8,54,"qualification",-6.6,0,2021,"Planica (SLO)","Men"
"22","2021JP3001RLQ","kobayashi ryoyu",187,103.8,208.5,130.2,52.5,"qualification",-4.9,9.2,2021,"Planica (SLO)","Men"
"23","2021JP3001RLQ","forfang johann andre",183.3,103.4,205,126,52,"qualification",-3.9,9.2,2021,"Planica (SLO)","Men"
"24","2021JP3001RLQ","sato keiichi",182.8,103.5,206,127.2,51,"qualification",-4.6,9.2,2021,"Planica (SLO)","Men"
"25","2021JP3001RLQ","aigro artti",182.4,103.9,211,133.2,52.5,"qualification",-3.3,0,2021,"Planica (SLO)","Men"
"26","2021JP3001RLQ","boyd-clowes mackenzie",177.6,104.1,202,122.4,51,"qualification",-5,9.2,2021,"Planica (SLO)","Men"
"27","2021JP3001RLQ","nakamura naoki",176.5,103.9,206.5,127.8,52,"qualification",-3.3,0,2021,"Planica (SLO)","Men"
