Province_State;Country_Region;Confirmed;Deaths;Recovered;Active
Afghanistan;Afghanistan;55023;2400;47679;4944
Albania;Albania;78127;1380;47424;29323
Algeria;Algeria;107339;2891;73344;31104
Andorra;Andorra;9937;101;9093;743
Angola;Angola;19796;466;18035;1295
Antigua and Barbuda;Antigua and Barbuda;234;7;177;50
Argentina;Argentina;1927239;47974;1721650;157615
Armenia;Armenia;167026;3080;157519;6427
Australian Capital Territory;Australia;118;3;115;0
New South Wales;Australia;5110;54;3256;1800
Northern Territory;Australia;98;0;93;5
Queensland;Australia;1310;6;1295;9
South Australia;Australia;596;4;592;0
Tasmania;Australia;234;13;221;0
Victoria;Australia;20449;820;19608;21
Western Australia;Australia;903;9;881;13
Austria;Austria;414398;7721;392497;14180
Azerbaijan;Azerbaijan;230219;3132;223315;3772
Bahamas;Bahamas;8174;176;6771;1227
Bahrain;Bahrain;103057;375;98599;4083
Bangladesh;Bangladesh;535139;8127;479744;47268
Barbados;Barbados;1545;14;1158;373
Belarus;Belarus;248336;1718;235838;10780
Antwerp;Belgium;88595;0;0;88595
Brussels;Belgium;88216;0;0;88216
East Flanders;Belgium;73726;0;0;73726
Flemish Brabant;Belgium;54243;0;0;54243
Hainaut;Belgium;109249;0;0;109249
Liege;Belgium;101631;0;0;101631
Limburg;Belgium;34654;0;0;34654
Luxembourg;Belgium;20009;0;0;20009
Namur;Belgium;37579;0;0;37579
Walloon Brabant;Belgium;27442;0;0;27442
West Flanders;Belgium;62192;0;0;62192
Belize;Belize;11908;301;11309;298
Benin;Benin;3893;52;3421;420
Bhutan;Bhutan;859;1;814;44
Bolivia;Bolivia;216835;10379;159222;47234
Bosnia and Herzegovina;Bosnia and Herzegovina;121497;4679;94604;22214
Botswana;Botswana;21293;134;17198;3961
Acre;Brazil;48467;867;40155;7445
Alagoas;Brazil;117768;2746;112603;2419
Amapa;Brazil;77041;1059;58186;17796
Amazonas;Brazil;267394;8117;225426;33851
Bahia;Brazil;588106;10097;563176;14833
Ceara;Brazil;373417;10476;286040;76901
Distrito Federal;Brazil;277110;4554;265863;6693
Espirito Santo;Brazil;294086;5857;276098;12131
Goias;Brazil;350569;7488;337835;5246
Maranhao;Brazil;207488;4697;195540;7251
Mato Grosso;Brazil;215805;5050;202996;7759
Mato Grosso do Sul;Brazil;161021;2909;150082;8030
Minas Gerais;Brazil;734486;15060;656912;62514
Para;Brazil;329306;7636;308081;13589
Paraiba;Brazil;191584;4056;148856;38672
Parana;Brazil;549333;10030;400376;138927
Pernambuco;Brazil;261300;10348;221666;29286
Piaui;Brazil;159023;3058;155732;233
Rio Grande do Norte;Brazil;140583;3285;98586;38712
Rio Grande do Sul;Brazil;547282;10669;523871;12742
Rio de Janeiro;Brazil;520967;29811;486179;4977
Rondonia;Brazil;124663;2244;102860;19559
Roraima;Brazil;74115;856;69523;3736
Santa Catarina;Brazil;576815;6340;553342;17133
Sao Paulo;Brazil;1777368;53034;1524085;200249
Sergipe;Brazil;137417;2778;121751;12888
Tocantins;Brazil;102217;1382;90553;10282
Brunei;Brunei;180;3;170;7
Bulgaria;Bulgaria;218748;9045;187052;22651
Burkina Faso;Burkina Faso;10682;120;9253;1309
Burma;Burma;140145;3131;125072;11942
Burundi;Burundi;1632;2;773;857
Cabo Verde;Cabo Verde;14070;134;13144;792
Cambodia;Cambodia;466;0;443;23
Cameroon;Cameroon;29617;462;28045;1110
Alberta;Canada;124208;1639;115064;7505
British Columbia;Canada;66779;1189;59551;6039
Grand Princess;Canada;13;0;13;0
Manitoba;Canada;29564;829;25232;3503
New Brunswick;Canada;1256;18;954;284
Newfoundland and Labrador;Canada;408;4;388;16
Northwest Territories;Canada;35;0;35;0
Nova Scotia;Canada;1570;65;1483;22
Nunavut;Canada;294;1;266;27
Ontario;Canada;272917;6196;249149;17572
Prince Edward Island;Canada;111;0;105;6
Quebec;Canada;262583;9794;238648;14141
Repatriated Travellers;Canada;13;0;13;0
Saskatchewan;Canada;22646;268;19729;2649
Yukon;Canada;70;1;69;0
Central African Republic;Central African Republic;4981;63;4885;33
Chad;Chad;3376;118;2464;794
Antofagasta;Chile;31486;654;28973;1859
Araucania;Chile;31873;405;29817;1651
Arica y Parinacota;Chile;12966;254;12009;703
Atacama;Chile;10183;128;9644;411
Aysen;Chile;2515;20;2293;202
Biobio;Chile;61078;1065;57119;2894
Coquimbo;Chile;16951;342;15864;745
Los Lagos;Chile;42154;409;37886;3859
Los Rios;Chile;14729;161;13234;1334
Magallanes;Chile;19956;273;19083;600
Maule;Chile;35551;704;32689;2158
Metropolitana;Chile;343193;11360;326136;5697
Nuble;Chile;13821;265;12761;795
OHiggins;Chile;26145;660;24313;1172
Tarapaca;Chile;21169;354;19804;1011
Valparaiso;Chile;43288;1397;40305;1586
Anhui;China;994;6;987;1
Beijing;China;1038;9;977;52
Chongqing;China;591;6;584;1
Fujian;China;541;1;525;15
Gansu;China;187;2;180;5
Guangdong;China;2125;8;2074;43
Guangxi;China;267;2;263;2
Guizhou;China;147;2;145;0
