"Province_State" "Country_Region" "Lat" "Long_" "Confirmed" "Deaths" "Recovered" "Active"
"1" "Afghanistan" "Afghanistan" 33.93911 67.709953 45966 1752 36709 7505
"2" "Albania" "Albania" 41.1533 20.1683 36790 787 18152 17851
"3" "Algeria" "Algeria" 28.0339 1.6596 81212 2393 52568 26251
"4" "Angola" "Angola" -11.2027 17.8739 15087 345 7763 6979
"5" "Antigua and Barbuda" "Antigua and Barbuda" 17.0608 -61.7964 141 4 130 7
"6" "Argentina" "Argentina" -38.4161 -63.6167 1413375 38322 1242877 132176
"7" "Australian Capital Territory" "Australia" -35.4735 149.0124 117 3 112 2
"8" "New South Wales" "Australia" -33.8688 151.2093 4568 53 3181 1334
"9" "Northern Territory" "Australia" -12.4634 130.8456 52 0 46 6
"10" "Queensland" "Australia" -27.4698 153.0251 1201 6 1181 14
"11" "South Australia" "Australia" -34.9285 138.6007 561 4 540 17
"12" "Tasmania" "Australia" -42.8821 147.3272 230 13 217 0
"13" "Victoria" "Australia" -37.8136 144.9631 20345 819 19526 0
"14" "Western Australia" "Australia" -31.9505 115.8605 818 9 785 24
"15" "Austria" "Austria" 47.5162 14.5501 275661 3018 210697 61946
"16" "Azerbaijan" "Azerbaijan" 40.1431 47.5769 114025 1323 71691 41011
"17" "Bahamas" "Bahamas" 25.025885 -78.035889 7496 163 5830 1503
"18" "Bahrain" "Bahrain" 26.0275 50.55 86645 341 84785 1519
"19" "Bangladesh" "Bangladesh" 23.685 90.3563 460619 6580 375885 78154
"20" "Barbados" "Barbados" 13.1939 -59.5432 270 7 249 14
"21" "Antwerp" "Belgium" 51.2195 4.4024 67402 0 0 67402
"22" "Brussels" "Belgium" 50.8503 4.3517 76206 0 0 76206
"23" "East Flanders" "Belgium" 51.0362 3.7373 53563 0 0 53563
"24" "Flemish Brabant" "Belgium" 50.9167 4.5833 43701 0 0 43701
"25" "Hainaut" "Belgium" 50.5257 4.0621 92967 0 0 92967
"26" "Liege" "Belgium" 50.4496 5.8492 91503 0 0 91503
"27" "Limburg" "Belgium" 50.9739 5.342 24093 0 0 24093
"28" "Luxembourg" "Belgium" 50.0547 5.4677 16158 0 0 16158
"29" "Namur" "Belgium" 50.331 4.8221 32240 0 0 32240
"30" "Walloon Brabant" "Belgium" 50.4 4.35 23076 0 0 23076
"31" "West Flanders" "Belgium" 51.0536 3.1458 44051 0 0 44051
"32" "Belize" "Belize" 17.1899 -88.4976 5647 144 3072 2431
"33" "Benin" "Benin" 9.3077 2.3158 2974 43 2819 112
"34" "Bhutan" "Bhutan" 27.5142 90.4336 396 0 373 23
"35" "Bolivia" "Bolivia" -16.2902 -63.5887 144592 8949 121280 14363
"36" "Bosnia and Herzegovina" "Bosnia and Herzegovina" 43.9159 17.6791 86710 2576 51068 33066
"37" "Botswana" "Botswana" -22.3285 24.6849 10258 31 7717 2510
"38" "Acre" "Brazil" -9.0238 -70.812 35920 723 30434 4763
"39" "Alagoas" "Brazil" -9.5713 -36.782 94613 2334 90836 1443
"40" "Amapa" "Brazil" 0.902 -52.003 58835 806 46648 11381
"41" "Amazonas" "Brazil" -3.4168 -65.8561 177800 4876 151674 21250
"42" "Bahia" "Brazil" -12.5797 -41.7007 398504 8227 377107 13170
"43" "Ceara" "Brazil" -5.4984 -39.3206 299290 9598 249068 40624
"44" "Distrito Federal" "Brazil" -15.7998 -47.8645 228075 3920 217274 6881
"45" "Espirito Santo" "Brazil" -19.1834 -40.3089 186574 4224 172842 9508
"46" "Goias" "Brazil" -15.827 -49.8362 278809 6344 266908 5557
"47" "Maranhao" "Brazil" -4.9609 -45.2744 193053 4279 185338 3436
"48" "Mato Grosso" "Brazil" -12.6819 -56.9211 157500 4071 147862 5567
"49" "Mato Grosso do Sul" "Brazil" -20.7722 -54.7852 97605 1757 84985 10863
"50" "Minas Gerais" "Brazil" -18.5122 -44.555 412996 9990 375890 27116
"51" "Para" "Brazil" -1.9981 -54.9306 269870 6901 252073 10896
"52" "Paraiba" "Brazil" -7.24 -36.782 145110 3288 114382 27440
"53" "Parana" "Brazil" -25.2521 -52.0215 276185 6107 195666 74412
"54" "Pernambuco" "Brazil" -8.8137 -36.9541 181392 9019 158850 13523
"55" "Piaui" "Brazil" -7.7183 -42.7289 125675 2617 122620 438
"56" "Rio Grande do Norte" "Brazil" -5.4026 -36.9541 93372 2684 48736 41952
"57" "Rio Grande do Sul" "Brazil" -30.0346 -51.2177 318936 6768 287980 24188
"58" "Rio de Janeiro" "Brazil" -22.9068 -43.1729 352760 22539 318771 11450
"59" "Rondonia" "Brazil" -11.5057 -63.5806 79765 1553 69693 8519
"60" "Roraima" "Brazil" -2.7376 -62.0751 62816 727 58796 3293
"61" "Santa Catarina" "Brazil" -27.2423 -50.2189 355950 3701 316430 35819
"62" "Sao Paulo" "Brazil" -23.5505 -46.6333 1238094 42048 1084660 111386
"63" "Sergipe" "Brazil" -10.5741 -37.3857 89507 2300 82927 4280
"64" "Tocantins" "Brazil" -10.1753 -48.2982 81266 1160 72986 7120
"65" "Brunei" "Brunei" 4.5353 114.7277 150 3 145 2
"66" "Bulgaria" "Bulgaria" 42.7339 25.4858 141747 3749 47779 90219
"67" "Burkina Faso" "Burkina Faso" 12.2383 -1.5616 2816 68 2579 169
"68" "Burma" "Burma" 21.9162 95.956 87977 1887 67588 18502
"69" "Burundi" "Burundi" -3.3731 29.9189 681 1 575 105
"70" "Cabo Verde" "Cabo Verde" 16.5388 -23.0418 10700 105 10161 434
"71" "Cambodia" "Cambodia" 11.55 104.9167 315 0 301 14
"72" "Cameroon" "Cameroon" 3.848 11.5021 24117 437 22177 1503
"73" "Alberta" "Canada" 53.9333 -116.5765 54836 524 39381 14931
"74" "British Columbia" "Canada" 53.7267 -127.6476 30884 395 21304 9185
"75" "Manitoba" "Canada" 53.7609 -98.8139 16118 290 6804 9024
"76" "New Brunswick" "Canada" 46.5653 -66.4619 481 7 363 111
"77" "Newfoundland and Labrador" "Canada" 53.1355 -57.6604 333 4 297 32
"78" "Northwest Territories" "Canada" 64.8255 -124.8457 15 0 15 0
"79" "Nova Scotia" "Canada" 44.682 -63.7443 1257 65 1078 114
"80" "Nunavut" "Canada" 70.2998 -83.1076 164 0 33 131
"81" "Ontario" "Canada" 51.2538 -85.3232 116517 3640 100650 12227
"82" "Prince Edward Island" "Canada" 46.5107 -63.4168 72 0 68 4
"83" "Quebec" "Canada" 52.9399 -73.5491 139643 7021 120906 11716
"84" "Saskatchewan" "Canada" 52.9399 -106.4509 7888 45 4521 3322
"85" "Yukon" "Canada" 64.2823 -135 45 1 29 15
"86" "Central African Republic" "Central African Republic" 6.6111 20.9394 4913 63 1924 2926
"87" "Chad" "Chad" 15.4542 18.7322 1663 101 1504 58
"88" "Antofagasta" "Chile" -23.6509 -70.3975 22151 561 21390 200
"89" "Araucania" "Chile" -38.9489 -72.3311 17249 223 16090 936
"90" "Arica y Parinacota" "Chile" -18.594 -69.4785 10205 204 9879 122
"91" "Atacama" "Chile" -27.5661 -70.0503 8138 105 7941 92
"92" "Aysen" "Chile" -45.9864 -73.7669 1252 14 1190 48
"93" "Biobio" "Chile" -37.4464 -72.1416 36075 600 33662 1813
"94" "Coquimbo" "Chile" -29.959 -71.3389 13070 268 12659 143
"95" "Los Lagos" "Chile" -41.9198 -72.1416 20355 195 19078 1082
"96" "Los Rios" "Chile" -40.231 -72.3311 5958 53 5306 599
"97" "Magallanes" "Chile" -52.368 -70.9863 14310 190 13563 557
