"Province_State" "Country_Region" "Confirmed" "Deaths" "Recovered" "Active"
"1" "Afghanistan" "Afghanistan" 53489 2277 43948 7264
"2" "Albania" "Albania" 63595 1241 37648 24706
"3" "Algeria" "Algeria" 102144 2807 69212 30125
"4" "Andorra" "Andorra" 8586 85 7724 777
"5" "Angola" "Angola" 18193 416 13872 3905
"6" "Antigua and Barbuda" "Antigua and Barbuda" 176 5 152 19
"7" "Argentina" "Argentina" 1722217 44495 1511750 165972
"8" "Armenia" "Armenia" 162131 2929 149312 9890
"9" "Australian Capital Territory" "Australia" 118 3 115 0
"10" "New South Wales" "Australia" 5018 54 3216 1748
"11" "Northern Territory" "Australia" 90 0 71 19
"12" "Queensland" "Australia" 1278 6 1243 29
"13" "South Australia" "Australia" 588 4 569 15
"14" "Tasmania" "Australia" 234 13 221 0
"15" "Victoria" "Australia" 20411 820 19551 40
"16" "Western Australia" "Australia" 877 9 851 17
"17" "Austria" "Austria" 380722 6723 353749 20250
"18" "Azerbaijan" "Azerbaijan" 224651 2909 208681 13061
"19" "Bahamas" "Bahamas" 7969 175 6313 1481
"20" "Bahrain" "Bahrain" 95558 356 92362 2840
"21" "Bangladesh" "Bangladesh" 522453 7781 466801 47871
"22" "Barbados" "Barbados" 878 7 389 482
"23" "Belarus" "Belarus" 212201 1517 194984 15700
"24" "Antwerp" "Belgium" 82041 0 0 82041
"25" "Brussels" "Belgium" 83471 0 0 83471
"26" "East Flanders" "Belgium" 67492 0 0 67492
"27" "Flemish Brabant" "Belgium" 50529 0 0 50529
"28" "Hainaut" "Belgium" 103911 0 0 103911
"29" "Liege" "Belgium" 98275 0 0 98275
"30" "Limburg" "Belgium" 30515 0 0 30515
"31" "Luxembourg" "Belgium" 18862 0 0 18862
"32" "Namur" "Belgium" 36067 0 0 36067
"33" "Walloon Brabant" "Belgium" 25719 0 0 25719
"34" "West Flanders" "Belgium" 56267 0 0 56267
"35" "Belize" "Belize" 11303 274 10397 632
"36" "Benin" "Benin" 3304 44 3185 75
"37" "Bhutan" "Bhutan" 767 0 459 345
"38" "Bolivia" "Bolivia" 173896 9376 138087 26433
"39" "Bosnia and Herzegovina" "Bosnia and Herzegovina" 115633 4330 81625 29678
"40" "Botswana" "Botswana" 16050 48 12927 3075
"41" "Acre" "Brazil" 43127 825 38323 3979
"42" "Alagoas" "Brazil" 108542 2561 103193 2788
"43" "Amapa" "Brazil" 70902 969 53921 16012
"44" "Amazonas" "Brazil" 213961 5701 177124 31136
"45" "Bahia" "Brazil" 512841 9424 496542 6875
"46" "Ceara" "Brazil" 344813 10155 275120 59538
"47" "Distrito Federal" "Brazil" 258811 4356 247471 6984
"48" "Espirito Santo" "Brazil" 263483 5321 241241 16921
"49" "Goias" "Brazil" 317322 6964 306128 4230
"50" "Maranhao" "Brazil" 201945 4562 191535 5848
"51" "Mato Grosso" "Brazil" 188098 4595 177150 6353
"52" "Mato Grosso do Sul" "Brazil" 143596 2546 128556 12494
"53" "Minas Gerais" "Brazil" 592311 12709 530061 49541
"54" "Para" "Brazil" 301501 7304 282575 11622
"55" "Paraiba" "Brazil" 172776 3808 130623 38345
"56" "Parana" "Brazil" 473279 8749 349372 115158
"57" "Pernambuco" "Brazil" 232037 9840 196457 25740
"58" "Piaui" "Brazil" 147038 2897 143770 371
"59" "Rio Grande do Norte" "Brazil" 124278 3090 88210 32978
"60" "Rio Grande do Sul" "Brazil" 480480 9439 455391 15650
"61" "Rio de Janeiro" "Brazil" 460927 26749 427837 6341
"62" "Rondonia" "Brazil" 101588 1911 84316 15361
"63" "Roraima" "Brazil" 69732 793 66262 2677
"64" "Santa Catarina" "Brazil" 520577 5637 490200 24740
"65" "Sao Paulo" "Brazil" 1546132 48351 1360789 136992
"66" "Sergipe" "Brazil" 122594 2574 105553 14467
"67" "Tocantins" "Brazil" 93099 1270 83616 8213
"68" "Brunei" "Brunei" 173 3 153 17
"69" "Bulgaria" "Bulgaria" 208511 8126 135259 65126
"70" "Burkina Faso" "Burkina Faso" 8082 89 5845 2148
"71" "Burma" "Burma" 130604 2846 114049 13709
"72" "Burundi" "Burundi" 986 2 773 211
"73" "Cabo Verde" "Cabo Verde" 12392 114 11733 545
"74" "Cambodia" "Cambodia" 391 0 374 17
"75" "Cameroon" "Cameroon" 26848 448 24892 1508
"76" "Alberta" "Canada" 111452 1284 96052 14116
"77" "British Columbia" "Canada" 56632 988 48205 7439
"78" "Grand Princess" "Canada" 13 0 13 0
"79" "Manitoba" "Canada" 26316 738 20850 4728
"80" "New Brunswick" "Canada" 779 9 585 185
"81" "Newfoundland and Labrador" "Canada" 393 4 381 8
"82" "Northwest Territories" "Canada" 24 0 24 0
"83" "Nova Scotia" "Canada" 1528 65 1435 28
"84" "Nunavut" "Canada" 266 1 265 0
"85" "Ontario" "Canada" 220394 4992 186984 28418
"86" "Prince Edward Island" "Canada" 102 0 94 8
"87" "Quebec" "Canada" 228821 8686 195663 24472
"88" "Repatriated Travellers" "Canada" 13 0 13 0
"89" "Saskatchewan" "Canada" 17803 191 14426 3186
"90" "Yukon" "Canada" 70 1 59 10
"91" "Central African Republic" "Central African Republic" 4973 63 4885 25
"92" "Chad" "Chad" 2537 107 1965 465
"93" "Antofagasta" "Chile" 25430 594 23566 1270
"94" "Araucania" "Chile" 25493 336 23707 1450
"95" "Arica y Parinacota" "Chile" 11243 231 10682 330
"96" "Atacama" "Chile" 8826 115 8487 224
"97" "Aysen" "Chile" 1812 18 1617 177
"98" "Biobio" "Chile" 51665 881 47846 2938
"99" "Coquimbo" "Chile" 14785 310 14115 360
"100" "Los Lagos" "Chile" 29677 281 26799 2597
"101" "Los Rios" "Chile" 10462 110 9244 1108
"102" "Magallanes" "Chile" 17916 241 17055 620
"103" "Maule" "Chile" 28341 592 25841 1908
"104" "Metropolitana" "Chile" 326465 10961 310534 4970
"105" "Nuble" "Chile" 11552 228 10756 568
"106" "OHiggins" "Chile" 22705 604 21346 755
"107" "Tarapaca" "Chile" 17340 303 15948 1089
"108" "Valparaiso" "Chile" 38158 1290 35268 1600
"109" "Anhui" "China" 993 6 987 0
"110" "Beijing" "China" 997 9 951 37
"111" "Chongqing" "China" 590 6 584 0
"112" "Fujian" "China" 527 1 497 29
"113" "Gansu" "China" 182 2 180 0
"114" "Guangdong" "China" 2075 8 2024 43
"115" "Guangxi" "China" 264 2 261 1
"116" "Guizhou" "China" 147 2 145 0
"117" "Hainan" "China" 171 6 165 0
"118" "Hebei" "China" 640 6 367 267
"119" "Heilongjiang" "China" 971 13 949 9
"120" "Henan" "China" 1301 22 1273 6
"121" "Hong Kong" "China" 9242 158 8423 661
"122" "Hubei" "China" 68149 4512 63637 0
"123" "Hunan" "China" 1022 4 1017 1
"124" "Inner Mongolia" "China" 366 1 349 16
"125" "Jiangsu" "China" 687 0 684 3
"126" "Jiangxi" "China" 935 1 934 0
"127" "Jilin" "China" 157 2 155 0
"128" "Liaoning" "China" 393 2 314 77
"129" "Macau" "China" 46 0 46 0
"130" "Ningxia" "China" 75 0 75 0
"131" "Qinghai" "China" 18 0 18 0
"132" "Shaanxi" "China" 523 3 498 22
"133" "Shandong" "China" 864 7 852 5
"134" "Shanghai" "China" 1564 7 1457 100
"135" "Shanxi" "China" 226 0 224 2
