Province_State;Country_Region;Confirmed;Deaths;Recovered;Active
Afghanistan;Afghanistan;53984;2339;45868;5777
Albania;Albania;67690;1277;40453;25960
Algeria;Algeria;103833;2836;70554;30443
Andorra;Andorra;9083;91;8154;838
Angola;Angola;18875;436;16347;2092
Antigua and Barbuda;Antigua and Barbuda;189;6;156;27
Argentina;Argentina;1799243;45407;1583465;170371
Armenia;Armenia;164586;2992;152772;8822
Australian Capital Territory;Australia;118;3;115;0
New South Wales;Australia;5074;54;3229;1791
Northern Territory;Australia;93;0;84;9
Queensland;Australia;1294;6;1254;34
South Australia;Australia;593;4;578;11
Tasmania;Australia;234;13;221;0
Victoria;Australia;20428;820;19575;33
Western Australia;Australia;887;9;865;13
Austria;Austria;393778;7082;369218;17478
Azerbaijan;Azerbaijan;227273;3009;215268;8996
Bahamas;Bahamas;8032;175;6525;1332
Bahrain;Bahrain;97607;360;94297;2950
Bangladesh;Bangladesh;527632;7906;472437;47289
Barbados;Barbados;1095;7;493;595
Belarus;Belarus;225461;1582;209208;14671
Antwerp;Belgium;84093;0;0;84093
Brussels;Belgium;85239;0;0;85239
East Flanders;Belgium;69433;0;0;69433
Flemish Brabant;Belgium;51614;0;0;51614
Hainaut;Belgium;105600;0;0;105600
Liege;Belgium;99311;0;0;99311
Limburg;Belgium;31638;0;0;31638
Luxembourg;Belgium;19224;0;0;19224
Namur;Belgium;36556;0;0;36556
Walloon Brabant;Belgium;26213;0;0;26213
West Flanders;Belgium;58077;0;0;58077
Belize;Belize;11580;281;10694;605
Benin;Benin;3413;46;3245;122
Bhutan;Bhutan;842;1;574;267
Bolivia;Bolivia;187183;9636;143437;34110
Bosnia and Herzegovina;Bosnia and Herzegovina;117011;4411;84650;27950
Botswana;Botswana;17365;71;13519;3775
Acre;Brazil;44767;836;38970;4961
Alagoas;Brazil;111443;2620;105707;3116
Amapa;Brazil;73417;996;56436;15985
Amazonas;Brazil;230644;6191;192016;32437
Bahia;Brazil;537772;9638;516078;12056
Ceara;Brazil;353388;10223;278720;64445
Distrito Federal;Brazil;264227;4421;251876;7930
Espirito Santo;Brazil;275504;5506;255526;14472
Goias;Brazil;328098;7102;316154;4842
Maranhao;Brazil;203423;4606;192550;6267
Mato Grosso;Brazil;197916;4721;185040;8155
Mato Grosso do Sul;Brazil;150498;2674;135209;12615
Minas Gerais;Brazil;643609;13465;567999;62145
Para;Brazil;309526;7397;288474;13655
Paraiba;Brazil;177618;3888;132838;40892
Parana;Brazil;502599;9092;366090;127417
Pernambuco;Brazil;241087;10020;205511;25556
Piaui;Brazil;151397;2950;148193;254
Rio Grande do Norte;Brazil;130350;3177;91645;35528
Rio Grande do Sul;Brazil;506885;9921;479262;17702
Rio de Janeiro;Brazil;482058;27791;445445;8822
Rondonia;Brazil;109056;2005;89341;17710
Roraima;Brazil;70948;811;67781;2356
Santa Catarina;Brazil;541745;5886;512952;22907
Sao Paulo;Brazil;1625339;49945;1390344;185050
Sergipe;Brazil;128395;2652;113603;12140
Tocantins;Brazil;96390;1313;85249;9828
Brunei;Brunei;174;3;168;3
Bulgaria;Bulgaria;211813;8483;156722;46608
Burkina Faso;Burkina Faso;9188;102;7391;1695
Burma;Burma;134318;2955;117663;13700
Burundi;Burundi;1236;2;773;461
Cabo Verde;Cabo Verde;12993;119;12219;655
Cambodia;Cambodia;439;0;386;53
Cameroon;Cameroon;28010;455;26861;694
Alberta;Canada;116837;1436;103167;12234
British Columbia;Canada;60117;1047;53115;5955
Grand Princess;Canada;13;0;13;0
Manitoba;Canada;27511;769;23661;3081
New Brunswick;Canada;947;12;642;293
Newfoundland and Labrador;Canada;396;4;383;9
Northwest Territories;Canada;25;0;24;1
Nova Scotia;Canada;1558;65;1464;29
Nunavut;Canada;266;1;265;0
Ontario;Canada;242339;5418;210004;26917
Prince Edward Island;Canada;103;0;95;8
Quebec;Canada;242714;9055;213008;20651
Repatriated Travellers;Canada;13;0;13;0
Saskatchewan;Canada;20272;215;15936;4121
Yukon;Canada;70;1;67;2
Central African Republic;Central African Republic;4973;63;4885;25
Chad;Chad;2895;111;2130;654
Antofagasta;Chile;27406;600;24946;1860
Araucania;Chile;27529;361;25647;1521
Arica y Parinacota;Chile;11780;244;10947;589
Atacama;Chile;9236;119;8754;363
Aysen;Chile;2043;18;1789;236
Biobio;Chile;54896;935;50843;3118
Coquimbo;Chile;15402;320;14575;507
Los Lagos;Chile;33762;310;29749;3703
Los Rios;Chile;11784;124;10366;1294
Magallanes;Chile;18623;249;17780;594
Maule;Chile;30823;629;27979;2215
Metropolitana;Chile;331935;11068;315573;5294
Nuble;Chile;12195;241;11304;650
OHiggins;Chile;23655;625;22147;883
Tarapaca;Chile;18804;315;17156;1333
Valparaiso;Chile;39907;1318;36921;1668
Anhui;China;993;6;987;0
Beijing;China;1006;9;959;38
Chongqing;China;591;6;584;1
Fujian;China;532;1;509;22
Gansu;China;182;2;180;0
Guangdong;China;2087;8;2035;44
Guangxi;China;266;2;262;2
Guizhou;China;147;2;145;0
Hainan;China;171;6;165;0
Hebei;China;1157;7;379;771
Heilongjiang;China;1116;13;953;150
Henan;China;1303;22;1273;8
Hong Kong;China;9557;162;8758;637
Hubei;China;68149;4512;63637;0
Hunan;China;1026;4;1017;5
Inner Mongolia;China;366;1;350;15
Jiangsu;China;688;0;684;4
Jiangxi;China;935;1;934;0
Jilin;China;197;2;155;40
Liaoning;China;396;2;360;34
Macau;China;46;0;46;0
Ningxia;China;75;0;75;0
Qinghai;China;18;0;18;0
Shaanxi;China;530;3;502;25
Shandong;China;865;7;856;2
Shanghai;China;1598;7;1505;86
Shanxi;China;227;0;224;3
Sichuan;China;863;3;847;13
Tianjin;China;329;3;306;20
Tibet;China;1;0;1;0
Xinjiang;China;980;3;977;0
Yunnan;China;231;2;224;5
Zhejiang;China;1311;1;1298;12
Amazonas;Colombia;3451;129;3224;98
