"season","codex","hill_size_x","k.point","meter.value","gate.factor","wind.factor","id","training","place","gender","hill_size_y","team","type","date"
"1",2009,3245,134,120,1.8,NA,NA,"2009JP3245RLQ",0,"Zakopane (POL)","Men",134,0,0,"2009-01-17"
"2",2009,3244,140,125,1.8,NA,NA,"2009JP3244RLQ",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-25"
"3",2009,3242,137,125,1.8,NA,NA,"2009JP3242RLQ",0,"Engelberg (SUI)","Men",137,0,0,"2008-12-21"
"4",2009,3228,127,120,NA,NA,NA,"2009JP3228RLT",1,"Kuopio (FIN)","Men",127,0,0,"2009-03-09"
"5",2009,3228,127,120,NA,NA,NA,"2009JP3228RLQ",0,"Kuopio (FIN)","Men",127,0,0,"2009-03-09"
"6",2009,3192,134,120,1.8,NA,NA,"2009JP3192RL",0,"Zakopane (POL)","Men",134,0,0,"2009-01-17"
"7",2009,3169,137,125,1.8,NA,NA,"2009JP3169RL",0,"Engelberg (SUI)","Men",137,0,0,"2008-12-21"
"8",2009,3168,137,125,1.8,NA,NA,"2009JP3168RTRIA",1,"Engelberg (SUI)","Men",137,0,0,"2008-12-20"
"9",2009,3168,137,125,1.8,NA,NA,"2009JP3168RLT",1,"Engelberg (SUI)","Men",137,0,0,"2008-12-20"
"10",2009,3168,137,125,1.8,NA,NA,"2009JP3168RL",0,"Engelberg (SUI)","Men",137,0,0,"2008-12-20"
"11",2009,3167,137,125,1.8,NA,NA,"2009JP3167RLT",1,"Engelberg (SUI)","Men",137,0,0,"2008-12-19"
"12",2009,3167,137,125,1.8,NA,NA,"2009JP3167RLQ",0,"Engelberg (SUI)","Men",137,0,0,"2008-12-19"
"13",2009,3160,215,185,1.2,NA,NA,"2009JP3160RTRIA",1,"Planica (SLO)","Men",215,0,0,"2009-03-22"
"14",2009,3160,215,185,1.2,NA,NA,"2009JP3160RL",0,"Planica (SLO)","Men",215,0,0,"2009-03-22"
"15",2009,3159,215,185,1.2,NA,NA,"2009JP3159RTRIA",1,"Planica (SLO)","Men",215,1,0,"2009-03-21"
"16",2009,3159,215,185,1.2,NA,NA,"2009JP3159RL",0,"Planica (SLO)","Men",215,1,0,"2009-03-21"
"17",2009,3158,215,185,1.2,NA,NA,"2009JP3158RL",0,"Planica (SLO)","Men",215,0,0,"2009-03-20"
"18",2009,3157,215,185,1.2,NA,NA,"2009JP3157RLT",1,"Planica (SLO)","Men",215,0,0,"2009-03-19"
"19",2009,3157,215,185,1.2,NA,NA,"2009JP3157RLQ",0,"Planica (SLO)","Men",215,0,0,"2009-03-19"
"20",2009,3151,134,120,1.8,NA,NA,"2009JP3151RTRIA",1,"Zakopane (POL)","Men",134,0,0,"2009-01-16"
"21",2009,3151,134,120,1.8,NA,NA,"2009JP3151RL",0,"Zakopane (POL)","Men",134,0,0,"2009-01-16"
"22",2009,3150,134,120,1.8,NA,NA,"2009JP3150RLT",1,"Zakopane (POL)","Men",134,0,0,"2009-01-15"
"23",2009,3150,134,120,1.8,NA,NA,"2009JP3150RLQ",0,"Zakopane (POL)","Men",134,0,0,"2009-01-15"
"24",2009,3133,207,185,1.2,NA,NA,"2009JP3133RL",0,"Vikersund (NOR)","Men",207,0,0,"2009-03-15"
"25",2009,3132,207,185,1.2,NA,NA,"2009JP3132RLT",1,"Vikersund (NOR)","Men",207,0,0,"2009-03-15"
"26",2009,3132,207,185,1.2,NA,NA,"2009JP3132RLQ",0,"Vikersund (NOR)","Men",207,0,0,"2009-03-15"
"27",2009,3131,207,185,1.2,NA,NA,"2009JP3131RL",0,"Vikersund (NOR)","Men",207,1,0,"2009-03-14"
"28",2009,3130,138,123,1.8,NA,NA,"2009JP3130RTRIA",1,"Lillehammer (NOR)","Men",138,0,0,"2009-03-13"
"29",2009,3130,138,123,1.8,NA,NA,"2009JP3130RL",0,"Lillehammer (NOR)","Men",138,0,0,"2009-03-13"
"30",2009,3129,138,123,1.8,NA,NA,"2009JP3129RLT",1,"Lillehammer (NOR)","Men",138,0,0,"2009-03-12"
"31",2009,3129,138,123,1.8,NA,NA,"2009JP3129RLQ",0,"Lillehammer (NOR)","Men",138,0,0,"2009-03-12"
"32",2009,3128,140,123,1.8,NA,NA,"2009JP3128RLQ",0,"Trondheim (NOR)","Men",140,0,0,"2008-12-07"
"33",2009,3128,140,123,1.8,NA,NA,"2009JP3128RL",0,"Trondheim (NOR)","Men",140,0,0,"2008-12-07"
"34",2009,3127,140,123,1.8,NA,NA,"2009JP3127RTRIA",1,"Trondheim (NOR)","Men",140,0,0,"2008-12-06"
"35",2009,3127,140,123,1.8,NA,NA,"2009JP3127RLQ",0,"Trondheim (NOR)","Men",140,0,0,"2008-12-06"
"36",2009,3127,140,123,1.8,NA,NA,"2009JP3127RL",0,"Trondheim (NOR)","Men",140,0,0,"2008-12-06"
"37",2009,3126,140,123,1.8,NA,NA,"2009JP3126RLT",1,"Trondheim (NOR)","Men",140,0,0,"2008-12-05"
"38",2009,3126,140,123,1.8,NA,NA,"2009JP3126RLQ",0,"Trondheim (NOR)","Men",140,0,0,"2008-12-05"
"39",2009,3105,134,120,1.8,NA,NA,"2009JP3105RTRIA",1,"Sapporo (JPN)","Men",134,0,0,"2009-01-31"
"40",2009,3105,134,120,1.8,NA,NA,"2009JP3105RL",0,"Sapporo (JPN)","Men",134,0,0,"2009-01-31"
"41",2009,3096,140,125,1.8,NA,NA,"2009JP3096RL",0,"Pragelato (ITA)","Men",140,0,0,"2008-12-14"
"42",2009,3095,140,125,1.8,NA,NA,"2009JP3095RTRIA",1,"Pragelato (ITA)","Men",140,0,0,"2008-12-13"
"43",2009,3095,140,125,1.8,NA,NA,"2009JP3095RL",0,"Pragelato (ITA)","Men",140,0,0,"2008-12-13"
"44",2009,3094,140,125,1.8,NA,NA,"2009JP3094RLT",1,"Pragelato (ITA)","Men",140,0,0,"2008-12-12"
"45",2009,3094,140,125,1.8,NA,NA,"2009JP3094RLQ",0,"Pragelato (ITA)","Men",140,0,0,"2008-12-12"
"46",2009,3084,213,185,1.2,NA,NA,"2009JP3084RTRIA",1,"Oberstdorf (GER)","Men",213,1,0,"2009-02-15"
"47",2009,3084,213,185,1.2,NA,NA,"2009JP3084RL",0,"Oberstdorf (GER)","Men",213,1,0,"2009-02-15"
"48",2009,3083,213,185,1.2,NA,NA,"2009JP3083RL",0,"Oberstdorf (GER)","Men",213,0,0,"2009-02-14"
"49",2009,3082,213,185,1.2,NA,NA,"2009JP3082RLT",1,"Oberstdorf (GER)","Men",213,0,0,"2009-02-13"
"50",2009,3082,213,185,1.2,NA,NA,"2009JP3082RLQ",0,"Oberstdorf (GER)","Men",213,0,0,"2009-02-13"
"51",2009,3081,140,125,1.8,NA,NA,"2009JP3081RLT",1,"Klingenthal (GER)","Men",140,0,0,"2009-02-11"
"52",2009,3081,140,125,1.8,NA,NA,"2009JP3081RL",0,"Klingenthal (GER)","Men",140,0,0,"2009-02-11"
"53",2009,3079,145,130,1.8,NA,NA,"2009JP3079RTRIA",1,"Willingen (GER)","Men",145,0,0,"2009-02-08"
"54",2009,3079,145,130,1.8,NA,NA,"2009JP3079RL",0,"Willingen (GER)","Men",145,0,0,"2009-02-08"
"55",2009,3078,145,130,1.8,NA,NA,"2009JP3078RTRIA",1,"Willingen (GER)","Men",145,1,0,"2009-02-07"
"56",2009,3078,145,130,1.8,NA,NA,"2009JP3078RL",0,"Willingen (GER)","Men",145,1,0,"2009-02-07"
"57",2009,3077,145,130,1.8,NA,NA,"2009JP3077RLT",1,"Willingen (GER)","Men",145,0,0,"2009-02-06"
"58",2009,3077,145,130,1.8,NA,NA,"2009JP3077RLQ",0,"Willingen (GER)","Men",145,0,0,"2009-02-06"
"59",2009,3068,140,125,1.8,NA,NA,"2009JP3068RTRIA",1,"Garmisch-Partenkirchen (GER)","Men",140,0,0,"2009-01-01"
"60",2009,3068,140,125,1.8,NA,NA,"2009JP3068RL",0,"Garmisch-Partenkirchen (GER)","Men",140,0,0,"2009-01-01"
"61",2009,3067,140,125,1.8,NA,NA,"2009JP3067RLT",1,"Garmisch-Partenkirchen (GER)","Men",140,0,0,"2008-12-31"
"62",2009,3067,140,125,1.8,NA,NA,"2009JP3067RLQ",0,"Garmisch-Partenkirchen (GER)","Men",140,0,0,"2008-12-31"
"63",2009,3066,137,120,1.8,NA,NA,"2009JP3066RTRIA",1,"Oberstdorf (GER)","Men",137,0,0,"2008-12-29"
"64",2009,3066,137,120,1.8,NA,NA,"2009JP3066RL",0,"Oberstdorf (GER)","Men",137,0,0,"2008-12-29"
"65",2009,3065,137,120,1.8,NA,NA,"2009JP3065RLT",1,"Oberstdorf (GER)","Men",137,0,0,"2008-12-28"
"66",2009,3065,137,120,1.8,NA,NA,"2009JP3065RLQ",0,"Oberstdorf (GER)","Men",137,0,0,"2008-12-28"
"67",2009,3043,127,120,1.8,NA,NA,"2009JP3043RTRIA",1,"Kuopio (FIN)","Men",127,0,0,"2009-03-10"
"68",2009,3043,127,120,1.8,NA,NA,"2009JP3043RL",0,"Kuopio (FIN)","Men",127,0,0,"2009-03-10"
"69",2009,3041,130,116,1.8,NA,NA,"2009JP3041RLT",1,"Lahti (FIN)","Men",130,0,0,"2009-03-06"
"70",2009,3041,130,116,1.8,NA,NA,"2009JP3041RLQ",0,"Lahti (FIN)","Men",130,0,0,"2009-03-06"
"71",2009,3040,130,116,1.8,NA,NA,"2009JP3040RTRIA",1,"Lahti (FIN)","Men",97,0,0,"2009-03-08"
"72",2009,3040,130,116,1.8,NA,NA,"2009JP3040RL",0,"Lahti (FIN)","Men",97,0,0,"2009-03-08"
"73",2009,3039,130,116,1.8,NA,NA,"2009JP3039RTRIA",1,"Lahti (FIN)","Men",130,1,0,"2009-03-07"
"74",2009,3039,130,116,1.8,NA,NA,"2009JP3039RL",0,"Lahti (FIN)","Men",130,1,0,"2009-03-07"
"75",2009,3038,142,120,1.8,NA,NA,"2009JP3038RTRIA",1,"Ruka (FIN)","Men",142,1,0,"2008-11-29"
"76",2009,3038,142,120,1.8,NA,NA,"2009JP3038RL",0,"Ruka (FIN)","Men",142,1,0,"2008-11-29"
"77",2009,3037,142,120,1.8,NA,NA,"2009JP3037RTRIA",1,"Ruka (FIN)","Men",142,0,0,"2008-11-29"
"78",2009,3037,142,120,1.8,NA,NA,"2009JP3037RLT",1,"Ruka (FIN)","Men",142,0,0,"2008-11-29"
"79",2009,3037,142,120,1.8,NA,NA,"2009JP3037RL",0,"Ruka (FIN)","Men",142,0,0,"2008-11-29"
"80",2009,3036,142,120,1.8,NA,NA,"2009JP3036RLT",1,"Ruka (FIN)","Men",142,0,0,"2008-11-27"
"81",2009,3036,142,120,1.8,NA,NA,"2009JP3036RLQ",0,"Ruka (FIN)","Men",142,0,0,"2008-11-27"
"82",2009,3022,140,125,1.8,NA,NA,"2009JP3022RL",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-25"
"83",2009,3021,140,125,1.8,NA,NA,"2009JP3021RTRIA",1,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-24"
"84",2009,3021,140,125,1.8,NA,NA,"2009JP3021RL",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-24"
"85",2009,3020,140,125,1.8,NA,NA,"2009JP3020RLT",1,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-23"
"86",2009,3020,140,125,1.8,NA,NA,"2009JP3020RLQ",0,"Vancouver, BC (CAN)","Men",140,0,0,"2009-01-23"
"87",2009,3013,200,185,1.2,NA,NA,"2009JP3013RTRIA",1,"Tauplitz (AUT)","Men",200,0,0,"2009-01-11"
"88",2009,3013,200,185,1.2,NA,NA,"2009JP3013RL",0,"Tauplitz (AUT)","Men",200,0,0,"2009-01-11"
"89",2009,3012,200,185,1.2,NA,NA,"2009JP3012RTRIA",1,"Tauplitz (AUT)","Men",200,0,0,"2009-01-10"
"90",2009,3012,200,185,1.2,NA,NA,"2009JP3012RL",0,"Tauplitz (AUT)","Men",200,0,0,"2009-01-10"
"91",2009,3011,200,185,1.2,NA,NA,"2009JP3011RLT",1,"Tauplitz (AUT)","Men",200,0,0,"2009-01-09"
"92",2009,3011,200,185,1.2,NA,NA,"2009JP3011RLQ",0,"Tauplitz (AUT)","Men",200,0,0,"2009-01-09"
"93",2009,3010,140,125,1.8,NA,NA,"2009JP3010RTRIA",1,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-06"
"94",2009,3010,140,125,1.8,NA,NA,"2009JP3010RL",0,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-06"
"95",2009,3009,140,125,1.8,NA,NA,"2009JP3009RLT",1,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-05"
"96",2009,3009,140,125,1.8,NA,NA,"2009JP3009RLQ",0,"Bischofshofen (AUT)","Men",140,0,0,"2009-01-05"
"97",2009,3008,130,120,1.8,NA,NA,"2009JP3008RTRIA",1,"Innsbruck (AUT)","Men",130,0,0,"2009-01-04"
