"name","points","speed","dist","dist_points","note_points","id","round","wind_comp","gate_points"
"104457","eisenbichler markus",222.5,104.4,225.5,150.6,55,"2021JP3001RLQ","qualification",7.7,9.2
"104458","hayboeck michael",216,105.3,242.5,171,49.5,"2021JP3001RLQ","qualification",-4.5,0
"104459","granerud halvor egner",215.6,103.9,221.5,145.8,55,"2021JP3001RLQ","qualification",5.6,9.2
"104460","geiger karl",215.4,104.6,228,153.6,54.5,"2021JP3001RLQ","qualification",-1.9,9.2
"104461","tande daniel andre",215.3,104.2,229.5,155.4,55.5,"2021JP3001RLQ","qualification",-4.8,9.2
"104462","stoch kamil",212,103.5,226,151.2,54.5,"2021JP3001RLQ","qualification",-2.9,9.2
"104463","johansson robert",211.7,104.4,222,146.4,53.5,"2021JP3001RLQ","qualification",2.6,9.2
"104464","sato yukiya",206.9,103.3,219.5,143.4,54,"2021JP3001RLQ","qualification",0.3,9.2
"104465","zyla piotr",206.1,103.7,223,147.6,53,"2021JP3001RLQ","qualification",-3.7,9.2
"104466","paschke pius",206.1,104,221,145.2,55,"2021JP3001RLQ","qualification",-3.3,9.2
"104467","pavlovcic bor",202.8,104.4,220,144,54.5,"2021JP3001RLQ","qualification",-4.9,9.2
"104468","kubacki dawid",201.3,104.4,216,139.2,53,"2021JP3001RLQ","qualification",-0.1,9.2
"104469","stekala andrzej",200.9,104.1,217.5,141,54,"2021JP3001RLQ","qualification",-3.3,9.2
"104470","zajc timi",198.7,103.5,216,139.2,54,"2021JP3001RLQ","qualification",-3.7,9.2
"104471","aschenwald philipp",198.2,104.5,217.5,141,54,"2021JP3001RLQ","qualification",-6,9.2
"104472","lanisek anze",197.9,104.1,214.5,137.4,54,"2021JP3001RLQ","qualification",-2.7,9.2
"104473","klimov evgeniy",196.7,103.2,215,138,54,"2021JP3001RLQ","qualification",-4.5,9.2
"104474","eriksen sander vossan",192.6,103.8,212,134.4,53.5,"2021JP3001RLQ","qualification",-4.5,9.2
"104475","aalto antti",188.6,104.4,221.5,145.8,46.5,"2021JP3001RLQ","qualification",-3.7,0
"104476","schmid constantin",187.3,104.6,208,129.6,52.5,"2021JP3001RLQ","qualification",-4,9.2
"104477","prevc domen",187.2,104.4,216.5,139.8,54,"2021JP3001RLQ","qualification",-6.6,0
"104478","kobayashi ryoyu",187,103.8,208.5,130.2,52.5,"2021JP3001RLQ","qualification",-4.9,9.2
"104479","forfang johann andre",183.3,103.4,205,126,52,"2021JP3001RLQ","qualification",-3.9,9.2
"104480","sato keiichi",182.8,103.5,206,127.2,51,"2021JP3001RLQ","qualification",-4.6,9.2
"104481","aigro artti",182.4,103.9,211,133.2,52.5,"2021JP3001RLQ","qualification",-3.3,0
"104482","boyd-clowes mackenzie",177.6,104.1,202,122.4,51,"2021JP3001RLQ","qualification",-5,9.2
"104483","nakamura naoki",176.5,103.9,206.5,127.8,52,"2021JP3001RLQ","qualification",-3.3,0
"104484","schlierenzauer gregor",174.8,104.9,206,127.2,52.5,"2021JP3001RLQ","qualification",-4.9,0
"104485","bresadola giovanni",169,104.2,201,121.2,51,"2021JP3001RLQ","qualification",-3.2,0
"104486","mankov ilya",167.6,103.7,204,124.8,49,"2021JP3001RLQ","qualification",-6.2,0
"104487","kozisek cestmir",166.9,104.4,201,121.2,51,"2021JP3001RLQ","qualification",-5.3,0
"104488","nazarov mikhail",166.8,104.2,201,121.2,49.5,"2021JP3001RLQ","qualification",-3.9,0
"104489","kahofer timon-pascal",165.9,104.6,198,117.6,51,"2021JP3001RLQ","qualification",-2.7,0
"104490","larson casey",165.8,103.8,200,120,50,"2021JP3001RLQ","qualification",-4.2,0
"104491","maatta jarkko",164.3,103.9,196.5,115.8,52.5,"2021JP3001RLQ","qualification",-4,0
"104492","soukup matthew",159.5,104.1,192,110.4,49.5,"2021JP3001RLQ","qualification",-0.4,0
"104493","sadreev danil",159.3,103.9,194.5,113.4,49.5,"2021JP3001RLQ","qualification",-3.6,0
"104494","kalinichenko vitaliy",156.8,103.8,195.5,114.6,48,"2021JP3001RLQ","qualification",-5.8,0
"104495","insam alex",151.5,103.9,190.5,108.6,48.5,"2021JP3001RLQ","qualification",-5.6,0
"104496","nousiainen eetu",150.7,103.2,190.5,108.6,50,"2021JP3001RLQ","qualification",-7.9,0
"104497","dean decker",150.6,104,188.5,106.2,49,"2021JP3001RLQ","qualification",-4.6,0
"104498","kytosaho niko",149.5,104.4,184,100.8,48,"2021JP3001RLQ","qualification",0.7,0
"104499","gasienica patrick",113.9,103.7,160.5,72.6,45,"2021JP3001RLQ","qualification",-3.7,0
"104500","marusiak yevhen",78.6,102.4,129,34.8,40.5,"2021JP3001RLQ","qualification",3.3,0
