"movie_title";"mcu_phase";"release_date";"tomato_meter";"audience_score";"movie_duration";"production_budget";"opening_weekend";"domestic_box_office";"worldwide_box_office"
"1";"Iron Man";1;"5/2/2008";94;91;126;1.86e+08;102118668;318604126;585171547
"2";"The Incredible Hulk";1;"6/13/2008";67;70;112;137500000;55414050;134806913;265573859
"3";"Iron Man 2";1;"5/7/2010";72;71;124;1.7e+08;128122480;312433331;621156389
"4";"Thor";1;"5/6/2011";77;76;113;1.5e+08;65723338;181030624;449326618
"5";"Captain America: The First Avenger";1;"7/22/2011";79;75;124;1.4e+08;65058524;176654505;370569776
"6";"The Avengers";1;"5/4/2012";91;91;143;2.25e+08;207438708;623357910;1515100211
"7";"Iron Man 3";2;"5/3/2013";79;78;130;2e+08;174144585;408992272;1215392272
"8";"Thor: The Dark World";2;"11/8/2013";66;75;111;1.5e+08;85737841;206362140;644602516
"9";"Captain America: The Winter Soldier";2;"4/4/2014";90;92;135;1.7e+08;95023721;259746958;714401889
"10";"Guardians of the Galaxy";2;"8/1/2014";92;92;121;1.7e+08;94320883;333714112;770882395
"11";"Avengers: Age of Ultron";2;"5/1/2015";76;83;141;3.65e+08;191271109;459005868;1395316979
"12";"Ant-Man";2;"7/17/2015";83;85;117;1.3e+08;57225526;180202163;518858449
"13";"Captain America: Civil War";3;"5/6/2016";90;89;146;2.5e+08;179139142;408084349;1151918521
"14";"Doctor Strange";3;"11/4/2016";89;86;115;1.65e+08;85058311;232641920;676354481
"15";"Guardians of the Galaxy Vol. 2";3;"5/5/2017";85;87;135;2e+08;146510104;389813101;869113101
"16";"Spider-Man: Homecoming";3;"7/7/2017";92;87;133;1.75e+08;117027503;334201140;878346440
"17";"Thor: Ragnarok";3;"11/3/2017";93;87;130;1.8e+08;122744989;315058289;850482778
"18";"Black Panther";3;"2/16/2018";96;79;134;2e+08;202003951;700059566;1336494321
"19";"Avengers: Infinity War";3;"4/27/2018";85;91;149;3e+08;257698183;678815482;2048359754
"20";"Ant-Man and the Wasp";3;"7/6/2018";87;81;118;1.3e+08;75812205;216648740;623144660
"21";"Captain Marvel";3;"3/8/2019";79;45;124;1.75e+08;153433423;426829839;1129727388
"22";"Avengers: End Game";3;"4/26/2019";94;90;181;4e+08;357115007;858373000;2797800564
"23";"Spider-Man: Far From Home";3;"7/2/2019";90;95;129;1.6e+08;92579212;390532085;1132532832
"24";"Black Widow";4;"7/9/2021";79;91;133;2e+08;80366312;183651655;379751655
"25";"Shang-Chi and the Legend of the Ten Rings";4;"9/3/2021";91;98;133;1.5e+08;75388688;224543292;432243292
"26";"Eternals";4;"11/5/2021";47;78;157;2e+08;71297219;164870264;402064929
"27";"Spider-Man: No Way Home";4;"12/17/2021";93;98;148;2e+08;260138569;803975784;1891108035
