saison;spieltag;spiel;tore_mannschaft1;tore_mannschaft2
22/23;1;1;25;22
22/23;1;2;26;30
22/23;1;3;31;27
22/23;1;4;30;31
22/23;1;5;36;25
22/23;1;6;31;23
22/23;1;7;36;23
22/23;1;8;34;27
22/23;1;9;25;28
22/23;2;1;36;23
22/23;2;2;22;32
22/23;2;3;25;37
22/23;2;4;34;31
22/23;2;5;22;23
22/23;2;6;30;27
22/23;2;7;27;29
22/23;2;8;30;35
22/23;2;9;28;30
22/23;3;1;25;35
22/23;3;2;31;21
22/23;3;3;28;28
22/23;3;4;35;29
22/23;3;5;34;28
22/23;3;6;29;28
22/23;3;7;27;21
22/23;3;8;32;28
22/23;3;9;30;24
22/23;4;1;31;31
22/23;4;2;32;28
22/23;4;3;29;32
22/23;4;4;30;43
22/23;4;5;26;31
22/23;4;6;28;31
22/23;4;7;22;23
22/23;4;8;29;30
22/23;4;9;18;34
22/23;5;1;37;26 
22/23;5;2;29;24
22/23;5;3;33;23
22/23;5;4;28;27
22/23;5;5;25;25
22/23;5;6;27;29
22/23;5;7;39;25
22/23;5;8;29;29
22/23;5;9;34;34
22/23;6;1;32;29 
22/23;6;2;32;28
22/23;6;3;26;27
22/23;6;4;34;35
22/23;6;5;23;29
22/23;6;6;35;34
22/23;6;7;29;32
22/23;6;8;29;28
22/23;6;9;40;28
22/23;7;1;28;27 
22/23;7;2;37;25
22/23;7;3;32;24
22/23;7;4;30;27
22/23;7;5;32;28
22/23;7;6;34;26
22/23;7;7;27;23
22/23;7;8;26;21
22/23;7;9;36;36
22/23;8;1;29;25 
22/23;8;2;27;24
22/23;8;3;25;32
22/23;8;4;32;29
22/23;8;5;21;19
22/23;8;6;26;31
22/23;8;7;29;20
22/23;8;8;34;31
22/23;9;1;24;25 
22/23;9;2;18;28
22/23;9;3;26;22
22/23;9;4;29;27
22/23;9;5;22;27
22/23;9;6;32;24
22/23;9;7;32;31
22/23;9;8;28;32
21/22;1;1;33;24
21/22;1;2;26;26
21/22;1;3;19;15
21/22;1;4;18;31
21/22;1;5;27;28
21/22;1;6;33;29
21/22;1;7;24;28
21/22;1;8;29;24
21/22;1;9;20;24
21/22;2;1;27;27
21/22;2;2;27;21
21/22;2;3;26;33
21/22;2;4;25;28
21/22;2;5;25;30
21/22;2;6;27;25
21/22;2;7;27;24
21/22;2;8;31;26
21/22;2;9;22;34
21/22;3;1;30;26
21/22;3;2;25;33
21/22;3;3;26;27
21/22;3;4;27;34
21/22;3;5;30;22
21/22;3;6;33;23
21/22;3;7;28;20
21/22;3;8;33;27
21/22;3;9;32;27
21/22;4;1;27;27
21/22;4;2;26;25
21/22;4;3;25;31
21/22;4;4;17;28
21/22;4;5;20;30
21/22;4;6;37;32
