Country;Lat;Long ;Population;Density;Urban;Median Age;Males per Female;Fertility;Life Expectancy;GDP;Median wealth ;Mean wealth 
Afghanistan;33,93911;67,709953;32225560;60;0,25;18,438;102,246;4,5552;64,279;21,657;640;1463
Albania;41,153332;20,168331;2877797;105;0,63;36,399;95,962;1,62;78,377;15,103;14731;31366
Algeria;28,033886;1,659626;43851044;18;0,73;28,521;102,116;3,05;76,593;173,758;3267;9348
Angola;-11,202692;17,873887;32866272;26;0,67;16,677;97,925;5,55;60,54;208,034;137;3649
Argentina;-38,416097;-63,616672;45195774;17;0,93;31,532;100,74;2,268;76,448;519,872;3164;10256
Australia;-25,274398;133,775136;25499884;3;0,86;37,875;96,66;1,8316;83,199;1433,904;181361;386058
Austria;47,516231;14,550072;9006398;109;0,57;43,483;98,273;1,5292;81,352;455,286;9407;274919
Azerbaijan;40,143105;47,576927;10139177;123;0,56;32,333;183,077;2,0835;72,81;46,94;515;11865
Bahamas;25,03428;-77,39628;393244;39;0,86;32,25;93,795;1,76;73,728;12,803;20129;76507
Bahrain;25,930414;50,637772;1701575;2,239;0,89;32,456;99,944;1,9982;77,1;41,607;30946;87108
Bangladesh;23,684994;90,356331;164689383;1,265;0,39;27,567;113,434;2,052;72,15;274,025;2787;6643
Barbados;13,193887;-59,543198;287375;668;0,31;40,493;98,603;1,62;79,02;4,99;20497;64658
Belgium;50,503887;4,469936;11589623;383;0,98;41,928;93,78;1,7148;81,387;542,761;117093;246135
Belize;17,189877;-88,49765;397628;17;0,46;25,482;99,844;2,32;74,37;1,871;3166;10864
Benin;9,30769;2,315834;12123200;108;0,48;18,781;99,758;4,8675;61,303;10,354;845;2166
Bhutan;27,514162;90,433601;771608;20;0,46;28,144;108,176;2;71,283;7,701;954;3117
Bolivia;-16,290154;-63,588653;11673021;11;0,69;25,561;96,589;2,75;71,082;40,288;3843;11672
Bosnia and Herzegovina;43,915886;17,679076;3280819;64;0,52;43,108;93,1;1,27;77,176;21,023;13037;27873
Botswana;-22,328474;24,684866;2351627;4;0,73;24,044;93,944;2,8944;69,095;18,616;455;14684
Brazil;-14,235004;-51,92528;212559417;25;0,88;33,481;97,267;1,74;75,561;1868,626;5031;2355
Brunei;4,535277;114,727669;437479;83;0,8;32,308;95,394;1,8482;75,656;36,854;13634;44541
Bulgaria;42,733883;25,48583;6948445;64;0,76;44,596;96,984;1,5584;74,847;65,133;18948;42686
Burkina Faso;12,238333;-1,561593;20903273;76;0,31;17,551;99,868;5,2315;60,917;14,125;589;144
Burma;21,913965;95,956223;54409800;83;0,31;28,983;100,874;2,17;66,759;66;1556;3323
Burundi;-3,373056;29,918886;11890784;463;0,14;17,322;98,48;5,45;61,025;3,037;250;609
Cabo Verde;16,002082;-24,013197;555987;138;0,68;27,604;100,812;2,2885;72,703;2,042;1207;3619
Cambodia;12,565679;104,990963;16718965;95;0,24;27,604;101,408;2,5238;69,435;24,542;2029;5395
Cameroon;7,369722;12,354722;26545863;56;0,56;18,688;100,062;4,603;58,772;38,675;1036;284
Canada;56,130366;-106,346771;37742154;4;0,81;41,124;97,948;1,525;82,221;1713,342;107004;294255
Central African Republic;6,611111;20,939444;4829767;8;0,43;17,611;98,289;4,7541;52,668;2,22;244;749
Chad;15,454166;18,732207;16425864;13;0,23;16,554;99,69;5,7973;53,799;11,273;435;1167
Chile;-35,675147;-71,542969;19116201;26;0,85;35,339;96,472;1,65;79,956;298,231;19231;56972
China;35,86166;104,195397;1439323776;153;0,61;38,422;84,777;1,69;76,623;13608,152;20942;58544
Colombia;4,570868;-74,297333;50882891;46;0,8;31,307;100,052;1,82;77,021;331,047;5325;16411
Comoros;-11,875001;43,872219;869601;467;0,29;20,37;101,789;4,2365;63,983;1,178;1679;5155
Congo;-4,038333;21,758664;89561403;40;0,46;19,204;99,828;4,45;64,157;46,117;382;1084
Costa Rica;9,748917;-83,753428;5094118;100;0,8;33,462;88,018;1,7639;80,003;60,13;11793;33683
Croatia;45,1;15,2;4105267;73;0,58;44,291;96,394;1,4461;78,247;60,972;29183;62804
Cuba;21,521757;-77,781167;11326616;106;0,78;42,211;85,145;1,6166;78,685;100,023;4086;8822
Cyprus;35,126413;33,429859;1207359;131;0,67;37,25;91,057;1,3375;80,747;24,996;28803;116207
Czechia;49,817492;15,472962;10708981;139;0,74;43,203;90,838;1,6413;79,149;245,226;20854;64663
Denmark;56,26392;9,501785;5792202;137;0,88;42,298;90,027;1,7621;80,68;355,675;58784;284022
Djibouti;11,825138;42,590275;921804;43;0,79;26,57;110,657;2,7577;66,54;2,187;112;2936
Dominican Republic;18,735693;-70,162651;10847910;225;0,85;28,002;101,466;2,36;73,811;85,555;9447;33306
Ecuador;-1,831239;-78,183406;17643054;71;0,63;27,939;97,892;2,44;76,702;108,398;6399;19144
Egypt;26,820553;30,802498;102334404;103;0,43;24,606;101,945;3,33;71,744;250,895;49;15395
El Salvador;13,794185;-88,89653;6486205;313;0,73;27,552;97,124;2,0529;72,986;26,057;10148;2987
Equatorial Guinea;1,650801;10,267895;1402985;50;0,73;22,335;125,341;4,5543;58,246;13,432;5545;17023
Eritrea;15,179384;39,782334;3546421;35;0,63;19,209;100,491;4,1;65,743;8,116;191;4134
