Tonnes.Co2e;Country;Sector;Subsector
156917;Afghanistan;agriculture;cropland fires
10910376;Afghanistan;agriculture;enteric fermentation
3011407;Afghanistan;agriculture;managed soils
828337;Afghanistan;agriculture;manure management
499912;Afghanistan;agriculture;rice cultivation
316000;Afghanistan;buildings;cooking
0;Afghanistan;buildings;refrigeration air conditioning
398200;Afghanistan;buildings;residential commercial onsite heating
0;Afghanistan;extraction;bauxite mining
0;Afghanistan;extraction;copper mining
0;Afghanistan;extraction;iron mining
777;Afghanistan;extraction;rock quarry
353;Afghanistan;extraction;sand quarry
1822167;Afghanistan;manufacturing;other manufacturing
0;Afghanistan;manufacturing;petrochemicals
0;Afghanistan;manufacturing;pulp paper
0;Afghanistan;maritime;shipping
39436;Afghanistan;oil and gas;oil refining
483410;Afghanistan;oil and gas;solid fuel transformation
70000;Afghanistan;power;electricity generation
3672644;Afghanistan;power;other energy use
216165;Afghanistan;transport;aviation
112127;Afghanistan;transport;other transportation
0;Afghanistan;transport;railways
2104920;Afghanistan;transport;roads
0;Afghanistan;waste;biological treatment of solid waste and biogenic
722400;Afghanistan;waste;open burning waste
649600;Afghanistan;waste;solid waste disposal
4452000;Afghanistan;waste;wastewater treatment and discharge
50497;Albania;agriculture;cropland fires
1748813;Albania;agriculture;enteric fermentation
664884;Albania;agriculture;managed soils
434873;Albania;agriculture;manure management
0;Albania;agriculture;rice cultivation
0;Albania;buildings;cooking
0;Albania;buildings;refrigeration air conditioning
723815;Albania;buildings;residential commercial onsite heating
0;Albania;extraction;bauxite mining
3486;Albania;extraction;copper mining
0;Albania;extraction;iron mining
5816;Albania;extraction;rock quarry
2132;Albania;extraction;sand quarry
1022454;Albania;manufacturing;cement production
1442564;Albania;manufacturing;other manufacturing
0;Albania;manufacturing;petrochemicals
0;Albania;manufacturing;pulp paper
30560;Albania;maritime;shipping
0;Albania;oil and gas;oil refining
65166;Albania;oil and gas;solid fuel transformation
0;Albania;power;electricity generation
0;Albania;power;other energy use
109481;Albania;transport;aviation
0;Albania;transport;other transportation
5809;Albania;transport;railways
1924248;Albania;transport;roads
0;Albania;waste;biological treatment of solid waste and biogenic
2690;Albania;waste;open burning waste
316400;Albania;waste;solid waste disposal
150920;Albania;waste;wastewater treatment and discharge
236331;Algeria;agriculture;cropland fires
7343123;Algeria;agriculture;enteric fermentation
3634714;Algeria;agriculture;managed soils
363391;Algeria;agriculture;manure management
896;Algeria;agriculture;rice cultivation
3280000;Algeria;buildings;cooking
0;Algeria;buildings;refrigeration air conditioning
23969658;Algeria;buildings;residential commercial onsite heating
0;Algeria;extraction;bauxite mining
0;Algeria;extraction;copper mining
2239;Algeria;extraction;iron mining
32928;Algeria;extraction;rock quarry
61995;Algeria;extraction;sand quarry
21329565;Algeria;manufacturing;other manufacturing
82192;Algeria;manufacturing;petrochemicals
13783;Algeria;manufacturing;pulp paper
4415749;Algeria;manufacturing;steel
455958;Algeria;maritime;shipping
