Datum;Super_E5;Super_E10;Diesel;Verbraucherpreise;Einfuhrpreis_Erdgas;Erzeugerpreis_Leichtes_Heizöl ;VerbraucherpreisErdgas;Strompreis;Erdgasspeicherstand
01.01.21;1,37;1,32;1,21;102,6;82,5;99,8;98,9;0,23206;73,09
01.02.21;1,41;1,37;1,24;103,3;85,3;109,2;99,1;0,24313;44,18
01.03.21;1,49;1,44;1,31;103,9;83,5;115,7;99,3;0,24521;31,05
01.04.21;1,53;1,47;1,31;103,6;85,9;112,4;99,2;0,24638;27,16
01.05.21;1,52;1,47;1,32;104;99;115,3;99,3;0,24933;25,76
01.06.21;1,56;1,5;1,35;104,5;114,5;120,4;99,4;0,25448;31,46
01.07.21;1,59;1,53;1,38;105,1;127,4;124,2;99,6;0,2589;41,71
01.08.21;1,63;1,57;1,4;105,1;150,4;121,4;100;0,26855;50,24
01.09.21;1,62;1,56;1,39;106;168,3;127,6;100,5;0,27291;59,83
01.10.21;1,66;1,6;1,46;109,3;218,1;149,9;102,1;0,28234;68,21
01.11.21;1,74;1,69;1,57;110,6;292,3;145,1;103,9;0,32727;72,41
01.12.21;1,68;1,63;1,53;110,7;283,7;137,8;106,4;0,3405;64,73
01.01.22;1,73;1,67;1,58;121,5;332,2;155,3;130,7;0,47484;54,18
01.02.22;1,77;1,72;1,65;124,7;304,1;171,3;134,5;0,41317;35,89
01.03.22;1,88;1,83;1,76;137,9;337,6;267;140,8;0,36202;27,76
01.04.22;2,06;2,01;2,08;137,3;344,6;227,2;146,3;0,46757;26,97
01.05.22;2,05;1,99;2,06;141,2;332,2;226;154,1;0,407145;35,74
01.06.22;1,94;1,88;1,93;145,6;342,2;271,5;159,7;0,38878;49,52
01.07.22;1,91;1,85;2;149,3;412,3;258,2;174,4;0,36049;61,47
01.08.22;1,81;1,75;1,94;153,4;611,1;247,6;183,8;0,42007;69,43
01.09.22;2,08;2,02;2,18;160,4;650,5;235,3;196,1;0,50694;84,53
